UserID,CheckIn,LocationFrequency,ActivityTime,Cluster,Venue ID,Venue category ID,Venue category name,Latitude,Longitude,Timezone offset in minutes,UTC time
12,309,99,21,1,4b53672bf964a520199b27e3,4bf58dd8d48988d118951735,Food & Drink Shop,40.764016,-73.82947598,-240,Tue Apr 03 21:58:10 +0000 2012
12,309,99,21,1,4cd95a235e1b721e58b23ed9,4bf58dd8d48988d143941735,Breakfast Spot,40.70353166,-73.80230515,-240,Wed Apr 04 11:24:54 +0000 2012
12,309,99,21,1,4a2c6356f964a52057971fe3,4bf58dd8d48988d1ff941735,Miscellaneous Shop,40.76216824,-73.83157099,-240,Wed Apr 04 22:46:01 +0000 2012
12,309,99,21,1,4b53672bf964a520199b27e3,4bf58dd8d48988d118951735,Food & Drink Shop,40.76396261,-73.8291242,-240,Wed Apr 04 23:43:16 +0000 2012
12,309,99,21,1,4cd95a235e1b721e58b23ed9,4bf58dd8d48988d143941735,Breakfast Spot,40.70353166,-73.80230515,-240,Thu Apr 05 11:04:28 +0000 2012
12,309,99,21,1,4adcda72f964a520504521e3,4bf58dd8d48988d142941735,Asian Restaurant,40.5995839,-73.98979509,-240,Sat Apr 07 20:46:38 +0000 2012
12,309,99,21,1,4cbf3eb47dc9a093adb937f5,4bf58dd8d48988d16a941735,Bakery,40.60904075,-73.99974042,-240,Sun Apr 08 15:40:16 +0000 2012
12,309,99,21,1,4bb7cf5b3db7b7135499209a,4bf58dd8d48988d142941735,Asian Restaurant,40.76333429,-73.80931,-240,Sun Apr 08 17:53:57 +0000 2012
12,309,99,21,1,4b53672bf964a520199b27e3,4bf58dd8d48988d118951735,Food & Drink Shop,40.764016,-73.82947598,-240,Sun Apr 08 21:13:39 +0000 2012
12,309,99,21,1,4ba52bfef964a5205de738e3,4bf58dd8d48988d16a941735,Bakery,40.76104766,-73.83065775,-240,Mon Apr 09 22:57:18 +0000 2012
12,309,99,21,1,4b53672bf964a520199b27e3,4bf58dd8d48988d118951735,Food & Drink Shop,40.764016,-73.82947598,-240,Mon Apr 09 23:15:14 +0000 2012
12,309,99,21,1,4cd95a235e1b721e58b23ed9,4bf58dd8d48988d143941735,Breakfast Spot,40.70353166,-73.80230515,-240,Tue Apr 10 11:11:04 +0000 2012
12,309,99,21,1,4ba3bc00f964a520a85938e3,4bf58dd8d48988d118951735,Food & Drink Shop,40.75778225,-73.82794674,-240,Tue Apr 10 22:51:55 +0000 2012
12,309,99,21,1,4cd95a235e1b721e58b23ed9,4bf58dd8d48988d143941735,Breakfast Spot,40.70353166,-73.80230515,-240,Wed Apr 11 10:50:29 +0000 2012
12,309,99,21,1,4b53672bf964a520199b27e3,4bf58dd8d48988d118951735,Food & Drink Shop,40.764016,-73.82947598,-240,Wed Apr 11 23:11:22 +0000 2012
12,309,99,21,1,4c83ada9d4e237044eae7288,4bf58dd8d48988d148941735,Donut Shop,40.70292766,-73.80001545,-240,Thu Apr 12 12:37:44 +0000 2012
12,309,99,21,1,4cd95a235e1b721e58b23ed9,4bf58dd8d48988d143941735,Breakfast Spot,40.70353166,-73.80230515,-240,Fri Apr 13 11:20:40 +0000 2012
12,309,99,21,1,4a441b2bf964a52027a71fe3,4bf58dd8d48988d10c951735,Cosmetics Shop,40.72387965,-73.99822542,-240,Fri Apr 13 22:18:03 +0000 2012
12,309,99,21,1,4a19b507f964a520347a1fe3,4bf58dd8d48988d1e0931735,Coffee Shop,40.71809032,-73.99999866,-240,Fri Apr 13 22:57:37 +0000 2012
12,309,99,21,1,4a19aaebf964a520307a1fe3,4bf58dd8d48988d1e0931735,Coffee Shop,40.75811474,-73.82963978,-240,Sat Apr 14 10:36:10 +0000 2012
12,309,99,21,1,4c1b5c40b4e62d7ff630d993,4bf58dd8d48988d118951735,Food & Drink Shop,40.612663,-73.98277697,-240,Sat Apr 14 20:48:41 +0000 2012
12,309,99,21,1,4bc7b1688b7c9c747d0437cf,4bf58dd8d48988d145941735,Chinese Restaurant,40.60513775,-73.98008,-240,Sat Apr 14 23:58:25 +0000 2012
12,309,99,21,1,4b9301d7f964a5204c2e34e3,4bf58dd8d48988d145941735,Chinese Restaurant,40.60180286,-73.99324991,-240,Sun Apr 15 00:16:43 +0000 2012
12,309,99,21,1,4bf728f85317a593599ffd7e,4bf58dd8d48988d1cc941735,Steakhouse,40.64983249,-73.871871,-240,Sun Apr 15 16:50:35 +0000 2012
12,309,99,21,1,4b40d02df964a5207bbb25e3,4bf58dd8d48988d1ff941735,Miscellaneous Shop,40.65078525,-73.87308141,-240,Sun Apr 15 17:53:39 +0000 2012
12,309,99,21,1,4bdef4eb0ee3a5933b7432b0,4bf58dd8d48988d1df941735,Bridge,40.64131201,-73.83439064,-240,Sun Apr 15 18:36:42 +0000 2012
12,309,99,21,1,4c1b3e75eac020a1658444c2,4bf58dd8d48988d1e0931735,Coffee Shop,40.652313,-73.83862317,-240,Sun Apr 15 20:19:19 +0000 2012
12,309,99,21,1,4b53672bf964a520199b27e3,4bf58dd8d48988d118951735,Food & Drink Shop,40.764016,-73.82947598,-240,Sun Apr 15 20:59:35 +0000 2012
12,309,99,21,1,4b6df4bbf964a520d19e2ce3,4bf58dd8d48988d118951735,Food & Drink Shop,40.7615016,-73.83059457,-240,Sun Apr 15 21:42:23 +0000 2012
